model,epoch,gap_mae,slider_mae,distance_mae,gap_median,slider_median,distance_median,gap_max,slider_max,distance_max,gap_accuracy,slider_accuracy,distance_accuracy,hit_le_2px,hit_le_3px,hit_le_5px,hit_le_10px,avg_time_ms,median_time_ms,failure_rate
best_model.pth,-1,98.97484465710434,55.43709561913948,81.35896205977868,62.85673461048358,47.675395494589196,45.92560015618804,345.8179788215534,271.98652958536786,488.30901604890823,22.88135593220339,28.8135593220339,31.35593220338983,11.864406779661017,22.88135593220339,31.35593220338983,40.67796610169492,46.221838159076235,21.738171577453613,0.0
best_model_weights.pth,-1,98.97484465710434,55.43709561913948,81.35896205977868,62.85673461048358,47.675395494589196,45.92560015618804,345.8179788215534,271.98652958536786,488.30901604890823,22.88135593220339,28.8135593220339,31.35593220338983,11.864406779661017,22.88135593220339,31.35593220338983,40.67796610169492,26.836936756715936,15.1747465133667,0.0
last.pth,-1,98.97484465710434,55.43709561913948,81.35896205977868,62.85673461048358,47.675395494589196,45.92560015618804,345.8179788215534,271.98652958536786,488.30901604890823,22.88135593220339,28.8135593220339,31.35593220338983,11.864406779661017,22.88135593220339,31.35593220338983,40.67796610169492,26.37690608784304,15.103459358215332,0.0
epoch_001.pth,1,98.97484465710434,55.43709561913948,81.35896205977868,62.85673461048358,47.675395494589196,45.92560015618804,345.8179788215534,271.98652958536786,488.30901604890823,22.88135593220339,28.8135593220339,31.35593220338983,11.864406779661017,22.88135593220339,31.35593220338983,40.67796610169492,27.551685349415923,15.4496431350708,0.0
