model,epoch,gap_mae,slider_mae,distance_mae,gap_median,slider_median,distance_median,gap_max,slider_max,distance_max,gap_accuracy,slider_accuracy,distance_accuracy,hit_le_2px,hit_le_3px,hit_le_5px,hit_le_10px,avg_time_ms,median_time_ms,failure_rate
best_model.pth,-1,51.421429453558105,9.810096054736867,45.23733948230743,31.91168075462468,4.414122428246467,10.01534128189087,207.75807073777406,67.01128928638809,204.5126028060913,33.0,56.00000000000001,43.0,21.0,30.0,43.0,50.0,14.014952182769775,11.507272720336914,0.0
best_model_weights.pth,-1,51.421429453558105,9.810096054736867,45.23733948230743,31.91168075462468,4.414122428246467,10.01534128189087,207.75807073777406,67.01128928638809,204.5126028060913,33.0,56.00000000000001,43.0,21.0,30.0,43.0,50.0,12.046856880187988,12.009263038635254,0.0
last.pth,-1,63.137329802181604,22.392532482990944,54.62954776644707,60.17022811886235,3.954626899974216,28.691433668136597,275.2249612451232,299.717429502123,267.4549161195755,19.0,60.0,22.0,10.0,13.0,22.0,32.0,11.157755851745605,10.999798774719238,0.0
epoch_001.pth,1,61.055637342093924,8.032639167531299,51.4392773270607,51.33755198196792,3.899166234663202,23.29379391670227,198.08949222086878,66.23898272061122,205.5135838985443,28.000000000000004,65.0,31.0,12.0,19.0,31.0,37.0,12.510101795196533,12.503981590270996,0.0
epoch_002.pth,2,56.706159679529335,7.243604537935157,45.143125863075255,52.767943695359094,3.938896444109739,27.719935417175293,198.10669077885774,62.82764482446997,205.51819729804993,27.0,68.0,27.0,5.0,11.0,27.0,39.0,13.25183391571045,13.405323028564453,0.0
epoch_003.pth,3,64.59952634458209,9.774024556224411,51.01211250782013,58.66354931683627,4.758913165900813,37.60981559753418,196.13110900014811,66.84284709821074,200.50987768173218,15.0,53.0,23.0,9.0,14.000000000000002,23.0,31.0,12.244679927825928,12.093544006347656,0.0
epoch_004.pth,4,63.71208027514506,9.830059941093403,53.14075525283813,61.12750446632519,3.877593397626545,35.91800880432129,203.46810921646426,66.91872001484464,210.480890750885,22.0,62.0,22.0,5.0,10.0,22.0,31.0,12.707397937774658,12.510180473327637,0.0
epoch_005.pth,5,75.74528318716953,9.601982726389217,63.4039514875412,68.72363859926641,4.478987470684983,42.89986300468445,203.46775527834734,68.2805650671461,213.02065658569336,14.000000000000002,56.99999999999999,18.0,4.0,8.0,18.0,24.0,12.850027084350586,13.010978698730469,0.0
epoch_006.pth,6,56.90466662253303,8.440322001260734,47.12245378494263,51.54720002977485,4.21000619399633,33.07272124290466,203.47716608391897,64.26000721545847,210.50859141349792,23.0,60.0,25.0,12.0,15.0,25.0,32.0,13.49414587020874,13.501644134521484,0.0
epoch_007.pth,7,62.28969845814081,9.942188150708779,51.9370160150528,54.569604935500394,4.418796522949194,35.787100315093994,202.09408275402606,68.22330857190889,192.62053060531616,22.0,63.0,22.0,12.0,14.000000000000002,22.0,28.000000000000004,12.666983604431152,12.51077651977539,0.0
epoch_008.pth,8,56.97805723569883,9.069357221261873,45.93672609090805,54.527144342824144,3.9039728849683097,34.366703748703,181.51004058646944,64.26936954467428,182.03045558929443,17.0,63.0,23.0,10.0,13.0,23.0,34.0,12.014734745025635,11.999845504760742,0.0
epoch_009.pth,9,70.07256484883094,17.562812139336064,60.44364454984665,61.15030495340814,4.290708621288056,50.99077558517456,203.47216604494486,207.9740005569837,205.495756149292,21.0,59.0,19.0,7.000000000000001,11.0,19.0,26.0,12.096338272094727,12.036800384521484,0.0
epoch_010.pth,10,67.69612317939145,8.431269931119283,58.914671815633774,54.81785592561636,4.450845429260186,33.206233501434326,245.77558293464588,67.0161952628833,230.16571033000946,25.0,61.0,27.0,9.0,13.0,27.0,36.0,12.474074363708496,12.01939582824707,0.0
epoch_011.pth,11,59.92995423064192,9.7160679986234,49.832838439941405,54.69327157129748,3.892960006806466,29.789654970169067,203.48026007021903,81.28990951876774,207.99279737472534,28.000000000000004,64.0,32.0,15.0,21.0,32.0,36.0,12.283434867858887,12.00556755065918,0.0
epoch_012.pth,12,68.99027090778287,12.982795765313766,56.28144289374352,67.59113663826676,4.406703708214987,39.41654324531555,233.38297610205274,208.2299544873173,215.08316326141357,20.0,59.0,24.0,12.0,16.0,24.0,30.0,12.365975379943848,12.506604194641113,0.0
epoch_013.pth,13,64.59477529920434,11.72535562420328,54.68067628324032,54.08288243649747,4.27630321690644,33.68075370788574,244.27189204450875,82.00333758177489,238.6674172282219,26.0,60.0,28.000000000000004,14.000000000000002,19.0,28.000000000000004,34.0,12.477307319641113,12.507200241088867,0.0
epoch_014.pth,14,65.32845090326768,12.724609746761406,56.43295672059059,54.34491093085176,4.594856787387415,34.847512006759644,243.43925242465934,195.42825003622656,223.8424220085144,22.0,57.99999999999999,25.0,9.0,13.0,25.0,32.0,12.086975574493408,12.463927268981934,0.0
epoch_015.pth,15,63.010984897380716,13.60292281104186,54.43472635507584,53.632665861764785,4.672212914831402,30.982489347457886,233.38841448260152,195.42743968096008,214.92384243011475,25.0,56.00000000000001,30.0,18.0,25.0,30.0,33.0,12.167513370513916,12.497186660766602,0.0
epoch_016.pth,16,60.506135779035986,9.539585236384212,47.36257447719574,52.91198712541815,3.8193877190870253,28.26371741294861,180.952164736858,143.1578164066269,182.4485559463501,20.0,67.0,27.0,14.000000000000002,20.0,27.0,36.0,12.033679485321045,12.006402015686035,0.0
